Stand: coordinateX=1482 coordinateY=1060
Brick: coordinateX=559 coordinateY=180
Brick: coordinateX=559 coordinateY=200
Brick: coordinateX=559 coordinateY=220
Brick: coordinateX=559 coordinateY=240
Brick: coordinateX=559 coordinateY=260
Brick: coordinateX=559 coordinateY=280
Brick: coordinateX=559 coordinateY=300
Brick: coordinateX=602 coordinateY=120
Brick: coordinateX=602 coordinateY=140
Brick: coordinateX=602 coordinateY=160
Brick: coordinateX=602 coordinateY=180
Brick: coordinateX=602 coordinateY=200
Brick: coordinateX=602 coordinateY=220
Brick: coordinateX=602 coordinateY=240
Brick: coordinateX=602 coordinateY=260
Brick: coordinateX=602 coordinateY=280
Brick: coordinateX=602 coordinateY=300
Brick: coordinateX=645 coordinateY=120
Brick: coordinateX=645 coordinateY=140
Brick: coordinateX=645 coordinateY=160
Brick: coordinateX=645 coordinateY=180
Brick: coordinateX=645 coordinateY=200
Brick: coordinateX=645 coordinateY=220
Brick: coordinateX=645 coordinateY=240
Brick: coordinateX=645 coordinateY=260
Brick: coordinateX=645 coordinateY=280
Brick: coordinateX=645 coordinateY=300
Brick: coordinateX=688 coordinateY=120
Brick: coordinateX=688 coordinateY=140
Brick: coordinateX=688 coordinateY=160
Brick: coordinateX=688 coordinateY=180
Brick: coordinateX=688 coordinateY=200
Brick: coordinateX=688 coordinateY=220
Brick: coordinateX=688 coordinateY=240
Brick: coordinateX=688 coordinateY=260
Brick: coordinateX=688 coordinateY=280
Brick: coordinateX=688 coordinateY=300
Brick: coordinateX=731 coordinateY=120
Brick: coordinateX=731 coordinateY=140
Brick: coordinateX=731 coordinateY=160
Brick: coordinateX=731 coordinateY=180
Brick: coordinateX=731 coordinateY=200
Brick: coordinateX=731 coordinateY=220
Brick: coordinateX=731 coordinateY=240
Brick: coordinateX=731 coordinateY=260
Brick: coordinateX=731 coordinateY=280
Brick: coordinateX=774 coordinateY=120
Brick: coordinateX=774 coordinateY=140
Brick: coordinateX=774 coordinateY=160
Brick: coordinateX=774 coordinateY=180
Brick: coordinateX=774 coordinateY=200
Brick: coordinateX=774 coordinateY=220
Brick: coordinateX=774 coordinateY=240
Brick: coordinateX=774 coordinateY=260
Brick: coordinateX=774 coordinateY=280
Brick: coordinateX=774 coordinateY=300
Brick: coordinateX=817 coordinateY=120
Brick: coordinateX=817 coordinateY=140
Brick: coordinateX=817 coordinateY=160
Brick: coordinateX=817 coordinateY=180
Brick: coordinateX=817 coordinateY=200
Brick: coordinateX=817 coordinateY=220
Brick: coordinateX=817 coordinateY=240
Brick: coordinateX=817 coordinateY=260
Brick: coordinateX=817 coordinateY=280
Brick: coordinateX=817 coordinateY=300
Brick: coordinateX=860 coordinateY=120
Brick: coordinateX=860 coordinateY=140
Brick: coordinateX=860 coordinateY=160
Brick: coordinateX=860 coordinateY=180
Brick: coordinateX=860 coordinateY=200
Brick: coordinateX=860 coordinateY=220
Brick: coordinateX=860 coordinateY=240
Brick: coordinateX=860 coordinateY=260
Brick: coordinateX=860 coordinateY=280
Brick: coordinateX=860 coordinateY=300
Brick: coordinateX=903 coordinateY=120
Brick: coordinateX=903 coordinateY=140
Brick: coordinateX=903 coordinateY=160
Brick: coordinateX=903 coordinateY=180
Brick: coordinateX=903 coordinateY=200
Brick: coordinateX=903 coordinateY=220
Brick: coordinateX=903 coordinateY=240
Brick: coordinateX=903 coordinateY=260
Brick: coordinateX=903 coordinateY=280
Brick: coordinateX=903 coordinateY=300
Brick: coordinateX=946 coordinateY=120
Brick: coordinateX=946 coordinateY=140
Brick: coordinateX=946 coordinateY=160
Brick: coordinateX=946 coordinateY=180
Brick: coordinateX=946 coordinateY=200
Brick: coordinateX=946 coordinateY=220
Brick: coordinateX=946 coordinateY=240
Brick: coordinateX=946 coordinateY=260
Brick: coordinateX=946 coordinateY=280
Brick: coordinateX=946 coordinateY=300
Brick: coordinateX=989 coordinateY=120
Brick: coordinateX=989 coordinateY=140
Brick: coordinateX=989 coordinateY=160
Brick: coordinateX=989 coordinateY=180
Brick: coordinateX=989 coordinateY=200
Brick: coordinateX=989 coordinateY=220
Brick: coordinateX=989 coordinateY=240
Brick: coordinateX=989 coordinateY=260
Brick: coordinateX=989 coordinateY=280
Brick: coordinateX=989 coordinateY=300
Brick: coordinateX=1032 coordinateY=120
Brick: coordinateX=1032 coordinateY=140
Brick: coordinateX=1032 coordinateY=160
Brick: coordinateX=1032 coordinateY=180
Brick: coordinateX=1032 coordinateY=200
Brick: coordinateX=1032 coordinateY=220
Brick: coordinateX=1032 coordinateY=240
Brick: coordinateX=1032 coordinateY=260
Brick: coordinateX=1032 coordinateY=280
Brick: coordinateX=1032 coordinateY=300
Brick: coordinateX=1075 coordinateY=120
Brick: coordinateX=1075 coordinateY=140
Brick: coordinateX=1075 coordinateY=160
Brick: coordinateX=1075 coordinateY=180
Brick: coordinateX=1075 coordinateY=200
Brick: coordinateX=1075 coordinateY=220
Brick: coordinateX=1075 coordinateY=240
Brick: coordinateX=1075 coordinateY=260
Brick: coordinateX=1075 coordinateY=280
Brick: coordinateX=1075 coordinateY=300
Brick: coordinateX=1118 coordinateY=120
Brick: coordinateX=1118 coordinateY=140
Brick: coordinateX=1118 coordinateY=160
Brick: coordinateX=1118 coordinateY=180
Brick: coordinateX=1118 coordinateY=200
Brick: coordinateX=1118 coordinateY=220
Brick: coordinateX=1118 coordinateY=240
Brick: coordinateX=1118 coordinateY=260
Brick: coordinateX=1118 coordinateY=280
Brick: coordinateX=1118 coordinateY=300
Brick: coordinateX=1161 coordinateY=120
Brick: coordinateX=1161 coordinateY=140
Brick: coordinateX=1161 coordinateY=160
Brick: coordinateX=1161 coordinateY=180
Brick: coordinateX=1161 coordinateY=200
Brick: coordinateX=1161 coordinateY=220
Brick: coordinateX=1161 coordinateY=240
Brick: coordinateX=1161 coordinateY=260
Brick: coordinateX=1161 coordinateY=280
Brick: coordinateX=1161 coordinateY=300
Brick: coordinateX=1204 coordinateY=120
Brick: coordinateX=1204 coordinateY=140
Brick: coordinateX=1204 coordinateY=160
Brick: coordinateX=1204 coordinateY=180
Brick: coordinateX=1204 coordinateY=200
Brick: coordinateX=1204 coordinateY=220
Brick: coordinateX=1204 coordinateY=240
Brick: coordinateX=1204 coordinateY=260
Brick: coordinateX=1204 coordinateY=280
Brick: coordinateX=1204 coordinateY=300
Brick: coordinateX=1247 coordinateY=120
Brick: coordinateX=1247 coordinateY=140
Brick: coordinateX=1247 coordinateY=160
Brick: coordinateX=1247 coordinateY=180
Brick: coordinateX=1247 coordinateY=200
Brick: coordinateX=1247 coordinateY=220
Brick: coordinateX=1247 coordinateY=240
Brick: coordinateX=1247 coordinateY=260
Brick: coordinateX=1247 coordinateY=280
Brick: coordinateX=1247 coordinateY=300
Brick: coordinateX=1290 coordinateY=120
Brick: coordinateX=1290 coordinateY=140
Brick: coordinateX=1290 coordinateY=160
Brick: coordinateX=1290 coordinateY=180
Brick: coordinateX=1290 coordinateY=200
Brick: coordinateX=1290 coordinateY=220
Brick: coordinateX=1290 coordinateY=240
Brick: coordinateX=1290 coordinateY=260
Brick: coordinateX=1290 coordinateY=280
Brick: coordinateX=1290 coordinateY=300
Brick: coordinateX=1333 coordinateY=120
Brick: coordinateX=1333 coordinateY=140
Brick: coordinateX=1333 coordinateY=160
Brick: coordinateX=1333 coordinateY=180
Brick: coordinateX=1333 coordinateY=200
Brick: coordinateX=1333 coordinateY=220
Brick: coordinateX=1333 coordinateY=240
Brick: coordinateX=1333 coordinateY=260
Brick: coordinateX=1333 coordinateY=280
Brick: coordinateX=1376 coordinateY=120
Brick: coordinateX=1376 coordinateY=140
Brick: coordinateX=1376 coordinateY=160
Brick: coordinateX=1376 coordinateY=180
Brick: coordinateX=1376 coordinateY=200
Brick: coordinateX=1376 coordinateY=220
Brick: coordinateX=1376 coordinateY=240
Brick: coordinateX=1376 coordinateY=260
Brick: coordinateX=1376 coordinateY=280
Brick: coordinateX=1376 coordinateY=300
Brick: coordinateX=1419 coordinateY=120
Brick: coordinateX=1419 coordinateY=140
Brick: coordinateX=1419 coordinateY=160
Brick: coordinateX=1419 coordinateY=180
Brick: coordinateX=1419 coordinateY=200
Brick: coordinateX=1419 coordinateY=220
Brick: coordinateX=1419 coordinateY=240
Brick: coordinateX=1419 coordinateY=260
Brick: coordinateX=1419 coordinateY=280
Brick: coordinateX=1419 coordinateY=300
Brick: coordinateX=1462 coordinateY=120
Brick: coordinateX=1462 coordinateY=140
Brick: coordinateX=1462 coordinateY=160
Brick: coordinateX=1462 coordinateY=180
Brick: coordinateX=1462 coordinateY=200
Brick: coordinateX=1462 coordinateY=220
Brick: coordinateX=1462 coordinateY=240
Brick: coordinateX=1462 coordinateY=260
Brick: coordinateX=1462 coordinateY=280
Brick: coordinateX=1462 coordinateY=300
Brick: coordinateX=1505 coordinateY=120
Brick: coordinateX=1505 coordinateY=140
Brick: coordinateX=1505 coordinateY=160
Brick: coordinateX=1505 coordinateY=180
Brick: coordinateX=1505 coordinateY=200
Brick: coordinateX=1505 coordinateY=220
Brick: coordinateX=1505 coordinateY=240
Brick: coordinateX=1505 coordinateY=260
Brick: coordinateX=1505 coordinateY=280
Brick: coordinateX=1505 coordinateY=300
Brick: coordinateX=1548 coordinateY=120
Brick: coordinateX=1548 coordinateY=140
Brick: coordinateX=1548 coordinateY=160
Brick: coordinateX=1548 coordinateY=180
Brick: coordinateX=1548 coordinateY=200
Brick: coordinateX=1548 coordinateY=220
Brick: coordinateX=1548 coordinateY=240
Brick: coordinateX=1548 coordinateY=260
Brick: coordinateX=1548 coordinateY=280
Brick: coordinateX=1548 coordinateY=300
Brick: coordinateX=1591 coordinateY=120
Brick: coordinateX=1591 coordinateY=140
Brick: coordinateX=1591 coordinateY=160
Brick: coordinateX=1591 coordinateY=180
Brick: coordinateX=1591 coordinateY=200
Brick: coordinateX=1591 coordinateY=220
Brick: coordinateX=1591 coordinateY=240
Brick: coordinateX=1591 coordinateY=260
Brick: coordinateX=1591 coordinateY=280
Brick: coordinateX=1591 coordinateY=300
Brick: coordinateX=1634 coordinateY=120
Brick: coordinateX=1634 coordinateY=140
Brick: coordinateX=1634 coordinateY=160
Brick: coordinateX=1634 coordinateY=180
Brick: coordinateX=1634 coordinateY=200
Brick: coordinateX=1634 coordinateY=220
Brick: coordinateX=1634 coordinateY=240
Brick: coordinateX=1634 coordinateY=260
Brick: coordinateX=1634 coordinateY=280
Brick: coordinateX=1634 coordinateY=300
Brick: coordinateX=1677 coordinateY=120
Brick: coordinateX=1677 coordinateY=140
Brick: coordinateX=1677 coordinateY=160
Brick: coordinateX=1677 coordinateY=180
Brick: coordinateX=1677 coordinateY=200
Brick: coordinateX=1677 coordinateY=220
Brick: coordinateX=1677 coordinateY=240
Brick: coordinateX=1677 coordinateY=260
Brick: coordinateX=1677 coordinateY=280
Brick: coordinateX=1677 coordinateY=300
Brick: coordinateX=1720 coordinateY=120
Brick: coordinateX=1720 coordinateY=140
Brick: coordinateX=1720 coordinateY=180
Brick: coordinateX=1720 coordinateY=200
Brick: coordinateX=1720 coordinateY=220
Brick: coordinateX=1720 coordinateY=260
Brick: coordinateX=1720 coordinateY=280
Brick: coordinateX=1720 coordinateY=300
Bonus: coordinateX=1720 coordinateY=8342
Active bonus: type=1 active_time=6634 is_active=1
Active bonus: type=2 active_time=0 is_active=0
Active bonus: type=3 active_time=0 is_active=0
Active bonus: type=4 active_time=0 is_active=0
Active bonus: type=5 active_time=0 is_active=0
Score: 5
Dimension: 1920 1080
Difficulty: hardPlayername: user
